Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-09-09,I'm Thinking of Ending Things,2020,https://boxd.it/1lo96x,4.5,Yes,,2020-09-08
2020-09-11,Dog Day Afternoon,1975,https://boxd.it/1lzUXl,4.5,,,2020-09-10
2020-09-15,La Cucaracha,1934,https://boxd.it/1m1uWH,1.5,,,2020-09-14
2020-09-15,Young Mr. Lincoln,1939,https://boxd.it/1m5e9R,3,,,2020-09-15
2020-09-17,Allá en el Rancho Grande,1936,https://boxd.it/1mfHBF,3,,,2020-09-16
2020-09-17,The Devil All the Time,2020,https://boxd.it/1mgoRh,2.5,,,2020-09-16
2020-09-21,She-Devil Island,1936,https://boxd.it/1mH175,3,,,2020-09-20
2020-09-22,The Invisible Man,2020,https://boxd.it/1mNb5b,4.5,,,2020-09-21
2020-10-02,American Murder: The Family Next Door,2020,https://boxd.it/1nKCg9,3.5,,,2020-10-01
2020-10-06,Vertigo,1958,https://boxd.it/1oaRQN,4.5,,,2020-10-05
2020-10-06,Horrible Bosses 2,2014,https://boxd.it/1odQu3,2,,,2020-10-05
2020-10-08,The Young and the Damned,1950,https://boxd.it/1omuZh,3.5,,,2020-10-07
2020-10-09,Susana: The Devil & the Flesh,1951,https://boxd.it/1ouaOz,3.5,,,2020-10-08
2020-10-10,The Social Dilemma,2020,https://boxd.it/1oDFgr,3.5,,,2020-10-10
2020-10-13,The Brainiac,1962,https://boxd.it/1oZ5Wv,3,,,2020-10-12
2020-10-14,Class Action Park,2020,https://boxd.it/1p5hEv,2,,,2020-10-13
2020-10-15,The Outpost,2019,https://boxd.it/1pb4Ct,3,,,2020-10-14
2020-10-17,City of God,2002,https://boxd.it/1pmLXr,5,Yes,,2020-10-16
2020-10-18,The Trial of the Chicago 7,2020,https://boxd.it/1pv3oZ,3,,,2020-10-18
2020-10-20,Fatal Attraction,1987,https://boxd.it/1pIL4v,3,,,2020-10-19
2020-10-23,Canoa: A Shameful Memory,1976,https://boxd.it/1pZvAz,3.5,,,2020-10-22
2020-10-23,Basic Instinct,1992,https://boxd.it/1q1YeB,4,,,2020-10-22
2020-10-24,Borat Subsequent Moviefilm,2020,https://boxd.it/1q7RQP,3,,,2020-10-23
2020-10-24,Sliver,1993,https://boxd.it/1q8Zzp,1,,,2020-10-23
2020-10-31,Crawl,2019,https://boxd.it/1qYsZX,2,,,2020-10-30
2020-10-31,Munich,2005,https://boxd.it/1qZ0xD,3.5,,,2020-10-30
2020-11-06,Cronos,1993,https://boxd.it/1rBVH7,3.5,,,2020-11-05
2020-11-12,Duck Season,2004,https://boxd.it/1sdLhp,4,,,2020-11-11
2020-11-19,2501 Migrants: A Journey,2009,https://boxd.it/1sUxS3,,,,2020-11-18
2020-11-20,Kill Bill: Vol. 1,2003,https://boxd.it/1t20tP,5,Yes,,2020-11-19
2020-11-22,The Graduate,1967,https://boxd.it/1tbPOx,4.5,Yes,,2020-11-21
2020-11-24,Almost Famous,2000,https://boxd.it/1tsnxn,3.5,,,2020-11-23
2020-11-28,Hillbilly Elegy,2020,https://boxd.it/1tW1hH,3.5,,,2020-11-28
2020-11-29,Pink Floyd - The Dark Side of the Moon,2003,https://boxd.it/1u0BPj,,,,2020-11-28
2020-11-30,The Undoing,2020,https://boxd.it/1ub4qR,4,,,2020-11-29
2020-12-04,Wild Things,1998,https://boxd.it/1uA5rL,3.5,,,2020-12-03
2020-12-05,69: The Saga of Danny Hernandez,2020,https://boxd.it/1uI7uN,2.5,,,2020-12-05
2020-12-08,Euphoria: Trouble Don't Last Always,2020,https://boxd.it/1v2udv,3.5,,,2020-12-07
2020-12-08,Murder on Middle Beach,2020,https://boxd.it/1v6wID,4,,,2020-12-08
2020-12-12,Die Hard,1988,https://boxd.it/1vtpZt,4.5,Yes,,2020-12-11
2020-12-16,Tenet,2020,https://boxd.it/1vWWar,3.5,,,2020-12-15
2020-12-20,The Dead Don't Die,2019,https://boxd.it/1wmQh9,1,,,2020-12-19
2020-12-20,Mank,2020,https://boxd.it/1wofkp,3.5,,,2020-12-19
2020-12-30,The Good Liar,2019,https://boxd.it/1xVLdb,3.5,,,2020-12-29
2020-12-30,Portrait of a Lady on Fire,2019,https://boxd.it/1xVLCl,5,Yes,,2020-12-29
2021-01-01,Wonder Woman 1984,2020,https://boxd.it/1yfasN,1.5,,,2020-12-31
2021-01-02,Machete Kills,2013,https://boxd.it/1ymrBh,3.5,,,2021-01-01
2021-01-02,Underwater,2020,https://boxd.it/1ynQaH,2,,,2021-01-01
2021-01-02,Gone Girl,2014,https://boxd.it/1yqadl,4.5,,,2021-01-01
2021-01-02,Sound of Metal,2019,https://boxd.it/1ysMOX,3.5,,,2021-01-01
2021-01-04,Boy Interrupted,2009,https://boxd.it/1yRrl1,,,,2021-01-03
2021-01-06,The Queen's Gambit,2020,https://boxd.it/1zcWqj,3.5,,,2021-01-05
2021-01-06,The Lodge,2019,https://boxd.it/1zgwql,2,,,2021-01-06
2021-01-07,Snakes on a Plane,2006,https://boxd.it/1zoTDj,4,,,2021-01-07
2021-01-09,The Fisher King,1991,https://boxd.it/1zEbth,3,,,2021-01-08
2021-01-09,This Is the End,2013,https://boxd.it/1zFAvp,3.5,,,2021-01-09
2021-01-14,The Gentlemen,2019,https://boxd.it/1Aq491,2.5,,,2021-01-13
2021-01-14,Body of Deceit,2017,https://boxd.it/1ArEXt,2.5,,,2021-01-13
2021-01-16,Ready Player One,2018,https://boxd.it/1AIh79,3.5,,,2021-01-15
2021-01-16,The King of Staten Island,2020,https://boxd.it/1AKdOx,4,,,2021-01-15
2021-01-19,Chinatown,1974,https://boxd.it/1BeS4P,4,,,2021-01-18
2021-01-22,Meet the Fockers,2004,https://boxd.it/1BG3Ib,2.5,Yes,,2021-01-21
2021-01-22,Meet the Parents,2000,https://boxd.it/1BG3Qz,3.5,,,2021-01-21
2021-02-01,The Little Things,2021,https://boxd.it/1D39T5,1.5,,,2021-01-31
2021-02-06,Earwig and the Witch,2020,https://boxd.it/1DMdWH,2,,,2021-02-05
2021-02-08,The Night Of,2016,https://boxd.it/1E2G55,3.5,,,2021-02-07
2021-02-12,Terminator: Dark Fate,2019,https://boxd.it/1EBpBD,3,,,2021-02-11
2021-02-12,Aquaman,2018,https://boxd.it/1EEG7B,2.5,,,2021-02-11
2021-02-16,Judas and the Black Messiah,2021,https://boxd.it/1FiBiJ,4,,,2021-02-15
2021-02-19,Palm Springs,2020,https://boxd.it/1FGffL,4,,,2021-02-18
2021-02-22,Nomadland,2020,https://boxd.it/1G91DR,5,,,2021-02-21
2021-02-22,Arbitrage,2012,https://boxd.it/1Gc2w9,3.5,,,2021-02-21
2021-02-24,Soul,2020,https://boxd.it/1Gqyvv,4,,,2021-02-23
2021-03-02,Allen v. Farrow,2021,https://boxd.it/1Hc8V9,,,,2021-03-01
2021-03-04,Argo,2012,https://boxd.it/1HtGCp,4,Yes,,2021-03-03
2021-03-05,War Dogs,2016,https://boxd.it/1HChGJ,3,,,2021-03-05
2021-03-12,Mommy,2014,https://boxd.it/1IuMRV,4.5,,,2021-03-11
2021-03-15,Possessor,2020,https://boxd.it/1IVLEb,4.5,,,2021-03-14
2021-03-15,Allen v. Farrow,2021,https://boxd.it/1IZ9N3,,Yes,,2021-03-15
2021-03-15,Death Proof,2007,https://boxd.it/1IZa7x,4,,,2021-03-15
2021-03-19,Zack Snyder's Justice League,2021,https://boxd.it/1JrMaZ,3.5,,,2021-03-18
2021-03-24,WandaVision,2021,https://boxd.it/1Ka80F,0.5,,,2021-03-23
2021-03-24,The Falcon and the Winter Soldier,2021,https://boxd.it/1Ka8dp,0.5,,,2021-03-23
2021-03-25,Soul,2020,https://boxd.it/1KfWBV,4,Yes,,2021-03-24
2021-03-25,Another Round,2020,https://boxd.it/1Kk3Zj,4,,,2021-03-24
2021-04-01,Godzilla vs. Kong,2021,https://boxd.it/1Lhzjx,4,,,2021-03-31
2021-04-09,Gemini Man,2019,https://boxd.it/1MqPyZ,3.5,,,2021-04-08
2021-04-14,Bad Trip,2021,https://boxd.it/1NdWcz,3.5,,,2021-04-13
2021-04-16,Godzilla vs. Kong,2021,https://boxd.it/1Nuclp,3.5,Yes,,2021-04-15
2021-04-23,Mortal Kombat,2021,https://boxd.it/1OsY3D,1,,,2021-04-22
2021-04-27,The Mole Agent,2020,https://boxd.it/1P7FO3,4.5,,,2021-04-26
2021-04-30,Shoplifters,2018,https://boxd.it/1PsGkF,4,,,2021-04-29
2021-05-01,Saw VI,2009,https://boxd.it/1PDKdl,2,,,2021-05-01
2021-05-16,Once Upon a Time… in Hollywood,2019,https://boxd.it/1RB3qv,4.5,Yes,,2021-05-15
2021-05-17,Tenet,2020,https://boxd.it/1RKwo7,3.5,Yes,,2021-05-16
2021-05-23,Army of the Dead,2021,https://boxd.it/1SzIzj,3.5,,,2021-05-22
2021-05-25,Hot Rod,2007,https://boxd.it/1SSBR9,3.5,Yes,,2021-05-24
2021-05-27,The Skin I Live In,2011,https://boxd.it/1T54op,4,,,2021-05-26
2021-05-29,Shithouse,2020,https://boxd.it/1TjND3,4.5,,,2021-05-28
2021-05-30,The Raid,2011,https://boxd.it/1TveVP,4,Yes,,2021-05-29
2021-05-30,Prisoners,2013,https://boxd.it/1TwHmr,4,Yes,,2021-05-30
2021-05-31,Bo Burnham: Inside,2021,https://boxd.it/1TGEqF,3.5,,,2021-05-31
2021-06-04,When Harry Met Sally...,1989,https://boxd.it/1UdBUj,5,,,2021-06-04
2021-06-07,Flight,2012,https://boxd.it/1UF6tR,3.5,,,2021-06-07
2021-06-08,Assault on Precinct 13,1976,https://boxd.it/1UN2pR,3.5,,,2021-06-08
2021-06-16,From Dusk Till Dawn,1996,https://boxd.it/1VImOL,4,Yes,,2021-06-15
2021-06-20,Luca,2021,https://boxd.it/1Wfyf5,3,,,2021-06-19
2021-06-21,Adaptation.,2002,https://boxd.it/1WpIqd,3.5,,,2021-06-20
2021-06-28,F9,2021,https://boxd.it/1XclOz,3,,,2021-06-27
2021-06-29,The Mitchells vs. The Machines,2021,https://boxd.it/1XmGoR,3,,,2021-06-28
2021-06-29,Scanners,1981,https://boxd.it/1Xr7vX,3.5,,,2021-06-29
2021-06-30,Speed,1994,https://boxd.it/1XvQBf,3,,,2021-06-29
2021-07-02,No Sudden Move,2021,https://boxd.it/1XKLW3,3,,,2021-07-01
2021-07-05,Rambo,2008,https://boxd.it/1YhsoR,4,,,2021-07-05
2021-07-08,RoboCop,1987,https://boxd.it/1YGkNf,4,Yes,,2021-07-07
2021-07-10,Machete,2010,https://boxd.it/1YWWkx,3.5,,,2021-07-09
2021-07-12,Arrival,2016,https://boxd.it/1ZhIXH,4.5,Yes,,2021-07-11
2021-07-13,I Saw the Devil,2010,https://boxd.it/1Zrwv7,4.5,,,2021-07-12
2021-07-17,Bottle Rocket,1996,https://boxd.it/200SKN,3,,,2021-07-16
2021-07-20,Space Jam: A New Legacy,2021,https://boxd.it/20vR81,2.5,,,2021-07-19
2021-07-25,The Hurt Locker,2008,https://boxd.it/219Jcf,4.5,Yes,,2021-07-24
2021-07-28,Taken,2008,https://boxd.it/21FVzp,3.5,Yes,,2021-07-27
2021-08-01,The Green Knight,2021,https://boxd.it/22b7RH,5,,,2021-07-31
2021-08-02,One Hour Photo,2002,https://boxd.it/22nYpP,3,,,2021-08-01
